               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.054902,             0.11152,            0.017145,               0.688,             0.41161,             0.37416,             0.18268,             0.05756,             0.08683,            0.017681,           0.0084655,           0.0084655,           0.0084655
                  64,             0.05624,             0.11905,            0.017479,             0.77488,             0.37028,             0.44801,             0.21719,            0.051661,            0.086601,            0.017457,           0.0084408,           0.0084408,           0.0084408
                  65,            0.051643,             0.11749,            0.016777,             0.67877,             0.41781,              0.4011,             0.17424,            0.058224,            0.088432,            0.017116,            0.008416,            0.008416,            0.008416
                  66,            0.053369,             0.11048,            0.016952,             0.72923,              0.3893,             0.43327,             0.24211,            0.050206,            0.088287,            0.016772,           0.0083913,           0.0083913,           0.0083913
                  67,            0.049447,             0.11952,            0.016471,              0.7391,             0.43663,             0.46298,              0.2407,            0.053178,            0.087364,            0.017107,           0.0083665,           0.0083665,           0.0083665
                  68,            0.053205,             0.11958,            0.016257,             0.84967,             0.34717,             0.47594,              0.2278,            0.053945,            0.087273,            0.016605,           0.0083418,           0.0083418,           0.0083418
                  69,            0.053255,             0.12068,            0.015798,             0.64765,             0.49707,              0.4215,             0.19346,            0.060137,            0.089371,            0.016869,            0.008317,            0.008317,            0.008317
                  70,            0.057303,              0.1165,            0.016322,             0.73451,             0.41586,             0.45286,               0.221,            0.052497,            0.086418,            0.016505,           0.0082922,           0.0082922,           0.0082922
                  71,            0.052907,             0.11304,            0.016042,             0.76961,             0.33407,              0.4392,             0.20983,            0.054836,             0.08802,            0.016679,           0.0082675,           0.0082675,           0.0082675
                  72,            0.053748,             0.11591,            0.016001,             0.71477,             0.46789,             0.48385,             0.27122,            0.049465,            0.087051,            0.016381,           0.0082428,           0.0082428,           0.0082428
                  73,            0.048186,             0.11914,            0.015506,             0.72161,             0.47957,             0.46384,             0.23676,            0.055955,            0.088661,            0.016434,            0.008218,            0.008218,            0.008218
                  74,            0.054811,             0.11965,             0.01602,              0.8189,             0.37657,             0.46877,             0.25836,            0.051817,            0.084877,            0.016333,           0.0081932,           0.0081932,           0.0081932
                  75,            0.049719,             0.11379,            0.015665,             0.71871,             0.40738,             0.41508,             0.21149,            0.056444,            0.088928,            0.015898,           0.0081685,           0.0081685,           0.0081685
                  76,            0.053152,             0.12658,            0.015573,             0.88181,             0.34384,             0.49288,             0.27848,            0.049462,            0.087784,            0.015438,           0.0081437,           0.0081437,           0.0081437
                  77,            0.046497,             0.12449,            0.014877,             0.75885,             0.45381,             0.49529,             0.28118,            0.052047,            0.087372,            0.015388,            0.008119,            0.008119,            0.008119
                  78,            0.047605,             0.10846,            0.014994,               0.767,             0.43566,              0.5157,             0.29376,            0.048638,            0.089371,            0.015397,           0.0080942,           0.0080942,           0.0080942
                  79,            0.047004,             0.10381,            0.014243,             0.72242,             0.48563,              0.4904,              0.2456,            0.056638,            0.086525,            0.015408,           0.0080695,           0.0080695,           0.0080695
                  80,            0.053687,             0.11343,            0.013919,              0.8599,             0.35996,             0.46978,              0.2416,            0.053454,            0.087341,            0.014614,           0.0080447,           0.0080447,           0.0080447
                  81,            0.048174,             0.10934,            0.013993,             0.69373,             0.47116,             0.42416,             0.20846,            0.053795,             0.08535,            0.014651,             0.00802,             0.00802,             0.00802
                  82,            0.050766,             0.11953,            0.014109,             0.78876,             0.45723,             0.52952,             0.30614,            0.048542,            0.088036,            0.013969,           0.0079953,           0.0079953,           0.0079953
                  83,            0.047833,              0.1155,            0.013395,             0.73882,             0.42184,             0.41607,             0.20828,            0.059055,            0.091072,            0.014447,           0.0079705,           0.0079705,           0.0079705
                  84,            0.051622,             0.11791,            0.014048,             0.81384,             0.47171,             0.54965,             0.32096,            0.048284,            0.086243,            0.013884,           0.0079457,           0.0079457,           0.0079457
                  85,            0.045925,              0.1059,            0.014197,              0.6792,             0.47654,             0.44249,             0.23413,            0.056141,            0.086609,            0.014717,            0.007921,            0.007921,            0.007921
                  86,            0.050876,             0.11726,             0.01381,              0.8612,             0.39319,             0.52575,             0.31283,            0.047612,            0.084991,            0.014323,           0.0078963,           0.0078963,           0.0078963
                  87,            0.048485,             0.10901,            0.014545,             0.78502,             0.44966,             0.49799,              0.2714,            0.053633,            0.084724,             0.01422,           0.0078715,           0.0078715,           0.0078715
                  88,            0.050087,             0.11227,            0.013563,             0.86968,             0.42693,             0.55058,             0.30512,            0.045854,            0.083145,            0.013943,           0.0078467,           0.0078467,           0.0078467
                  89,            0.045717,             0.10903,            0.013427,             0.68523,             0.48192,             0.44507,             0.24255,             0.05631,            0.087135,            0.014465,            0.007822,            0.007822,            0.007822
                  90,            0.052962,             0.12407,            0.013258,             0.74837,             0.47064,             0.50595,             0.28015,            0.048566,            0.086929,            0.015191,           0.0077973,           0.0077973,           0.0077973
